Sample,,,,,,S1P d16:1 Results,,,S1P d17:1 Results,,,S1P d18:0 Results,,,S1P d18:1 Results,,,S1P d18:1 13C2D2 (IS) Results,,,S1P d18:2 Results,,,S1P d19:1 Results,,,S1P d20:1 Results,,
!,!,099_SPL_S068_Pasalic 0,099_SPL_S068_Pasalic 0.d,Sample,20/4/2018 10:31 AM,4886,3.463,0.055,2640,3.429,0.057,20255,3.384,0.060,132692,3.402,0.055,40923,3.400,0.056,18511,3.436,0.057,3085,3.374,0.057,743,3.340,0.063
,,100_SPL_S069_Pasalic 1,100_SPL_S069_Pasalic 1.d,Sample,20/4/2018 10:41 AM,3568,3.463,0.055,2537,3.429,0.057,20084,3.384,0.058,136097,3.402,0.055,42809,3.400,0.056,15914,3.436,0.054,3441,3.374,0.058,810,3.348,0.050
!,!,101_SPL_S070_VM853323,101_SPL_S070_VM853323.d,Sample,20/4/2018 10:51 AM,11892,3.463,0.054,5980,3.429,0.056,15736,3.384,0.060,134704,3.402,0.055,37878,3.400,0.056,21998,3.436,0.056,3392,3.374,0.058,489,3.340,0.108
!,!,102_SPL_S071_VM854686,102_SPL_S071_VM854686.d,Sample,20/4/2018 11:02 AM,4651,3.463,0.055,3025,3.429,0.057,7974,3.384,0.061,64404,3.402,0.055,39050,3.400,0.056,17325,3.436,0.056,1341,3.374,0.057,359,3.340,0.056
!,!,103_SPL_S072_Mooser 0,103_SPL_S072_Mooser 0.d,Sample,20/4/2018 11:12 AM,1875,3.463,0.054,1799,3.429,0.058,13562,3.384,0.060,107269,3.402,0.055,37633,3.400,0.056,10311,3.436,0.056,2364,3.366,0.052,495,3.340,0.042
,,104_BQC_PQC11,104_BQC_PQC11.d,BQC,20/4/2018 11:22 AM,6746,3.463,0.055,4486,3.429,0.056,19281,3.384,0.059,147506,3.402,0.055,41423,3.400,0.056,23920,3.436,0.056,2977,3.374,0.058,806,3.340,0.029
,,105_SPL_S073_Mooser 1,105_SPL_S073_Mooser 1.d,Sample,20/4/2018 11:33 AM,3229,3.463,0.055,2809,3.429,0.057,18884,3.384,0.060,147392,3.402,0.055,46782,3.400,0.056,17308,3.436,0.056,2550,3.366,0.047,729,3.340,0.059
,,106_SPL_S074_LZ127043,106_SPL_S074_LZ127043.d,Sample,20/4/2018 11:43 AM,6846,3.463,0.055,5396,3.429,0.055,17906,3.384,0.060,122582,3.402,0.055,45832,3.400,0.056,21675,3.436,0.056,2713,3.374,0.058,595,3.348,0.116
,,107_SPL_S075_Rota 0,107_SPL_S075_Rota 0.d,Sample,20/4/2018 11:53 AM,4774,3.463,0.055,3674,3.429,0.058,30794,3.384,0.058,167693,3.402,0.055,45580,3.400,0.056,18772,3.436,0.056,3997,3.374,0.058,912,3.340,0.047
,,108_SPL_S076_Geissbühler 0,108_SPL_S076_Geissbühler 0.d,Sample,20/4/2018 12:03 PM,5909,3.463,0.055,5333,3.429,0.057,19127,3.384,0.060,162247,3.402,0.055,46739,3.400,0.056,19760,3.436,0.056,4249,3.374,0.057,1014,3.340,0.058
,,109_SPL_S077_Geissbühler 1,109_SPL_S077_Geissbühler 1.d,Sample,20/4/2018 12:14 PM,5843,3.463,0.055,4681,3.429,0.057,15988,3.384,0.060,129971,3.402,0.055,39954,3.400,0.056,17486,3.436,0.056,3114,3.374,0.058,920,3.340,0.057
,,110_SPL_S078_LZ128706,110_SPL_S078_LZ128706.d,Sample,20/4/2018 12:24 PM,5726,3.463,0.055,5133,3.429,0.056,16278,3.384,0.060,128757,3.402,0.055,42391,3.400,0.056,18142,3.436,0.055,3159,3.374,0.058,994,3.340,0.060
!,!,111_SPL_S079_Frei 0,111_SPL_S079_Frei 0.d,Sample,20/4/2018 12:34 PM,2812,3.463,0.053,2296,3.429,0.057,24379,3.384,0.059,151175,3.402,0.055,42935,3.400,0.056,19065,3.436,0.056,2945,3.374,0.054,915,3.348,0.050
,,112_SPL_S080_Balimann 0,112_SPL_S080_Balimann 0.d,Sample,20/4/2018 12:44 PM,4597,3.463,0.055,3727,3.429,0.058,24389,3.384,0.059,148634,3.402,0.055,41151,3.400,0.055,20337,3.436,0.056,3285,3.374,0.059,971,3.340,0.124
,,113_BQC_PQC12,113_BQC_PQC12.d,BQC,20/4/2018 12:55 PM,7206,3.463,0.052,4469,3.429,0.057,17147,3.384,0.060,155350,3.402,0.055,39456,3.400,0.056,22615,3.436,0.056,3295,3.374,0.058,923,3.340,0.055
,,114_TQC_TQC07,114_TQC_TQC07.d,TQC,20/4/2018 1:05 PM,6830,3.463,0.055,5405,3.429,0.056,20455,3.384,0.060,171061,3.402,0.055,46731,3.400,0.056,25356,3.436,0.056,3240,3.374,0.058,921,3.348,0.047
,,115_SPL_S081_Balimann 1,115_SPL_S081_Balimann 1.d,Sample,20/4/2018 1:15 PM,5687,3.463,0.055,5246,3.429,0.056,22265,3.384,0.059,146237,3.402,0.055,40304,3.400,0.056,16764,3.436,0.056,3864,3.374,0.058,822,3.340,0.042
,,116_SPL_S082_LZ127742,116_SPL_S082_LZ127742.d,Sample,20/4/2018 1:25 PM,5792,3.463,0.051,5443,3.429,0.056,16509,3.384,0.060,158288,3.402,0.056,39402,3.400,0.056,32295,3.436,0.056,3856,3.374,0.058,1358,3.340,0.055
,,117_SPL_S083_Thalmann 0,117_SPL_S083_Thalmann 0.d,Sample,20/4/2018 1:36 PM,3229,3.463,0.055,2754,3.429,0.057,15249,3.384,0.062,163379,3.402,0.055,41638,3.400,0.056,20081,3.428,0.056,3189,3.374,0.058,1415,3.340,0.063
!,!,118_SPL_S084_Thalmann 1,118_SPL_S084_Thalmann 1.d,Sample,20/4/2018 1:46 PM,2707,3.455,0.055,3061,3.429,0.056,12078,3.384,0.061,134252,3.402,0.055,42973,3.400,0.055,18963,3.428,0.055,2910,3.366,0.057,842,3.340,0.051
,,119_SPL_S085_VM842035,119_SPL_S085_VM842035.d,Sample,20/4/2018 1:56 PM,7707,3.463,0.055,7478,3.429,0.056,15814,3.384,0.060,139660,3.402,0.055,38242,3.400,0.056,24437,3.436,0.056,3104,3.374,0.058,809,3.340,0.032
,,120_SPL_S086_Lüscher 0,120_SPL_S086_Lüscher 0.d,Sample,20/4/2018 2:06 PM,5830,3.463,0.055,4962,3.429,0.056,20815,3.376,0.060,199706,3.394,0.055,41478,3.400,0.056,24334,3.428,0.056,3726,3.366,0.058,1189,3.340,0.058
,,121_SPL_S087_Arnhold 0,121_SPL_S087_Arnhold 0.d,Sample,20/4/2018 2:17 PM,2753,3.463,0.055,3442,3.429,0.057,16282,3.384,0.060,175021,3.402,0.055,45752,3.400,0.055,19470,3.428,0.056,3350,3.366,0.058,1328,3.340,0.057
,,122_SPL_S088_Arnhold 1,122_SPL_S088_Arnhold 1.d,Sample,20/4/2018 2:27 PM,2572,3.463,0.054,2636,3.429,0.057,11849,3.384,0.060,115668,3.402,0.055,40546,3.400,0.056,14364,3.436,0.056,2623,3.374,0.058,965,3.340,0.059
,,123_BQC_PQC13,123_BQC_PQC13.d,BQC,20/4/2018 2:37 PM,6891,3.463,0.055,4873,3.437,0.057,20503,3.384,0.059,160297,3.402,0.055,43663,3.400,0.056,25241,3.436,0.056,3209,3.374,0.058,936,3.348,0.056
,,124_SPL_S089_VM842640,124_SPL_S089_VM842640.d,Sample,20/4/2018 2:48 PM,5946,3.463,0.049,3484,3.437,0.057,6716,3.384,0.061,67129,3.402,0.055,43496,3.400,0.055,11437,3.436,0.056,1137,3.374,0.056,320,3.340,0.061
,,125_SPL_S090_Bodmer 0,125_SPL_S090_Bodmer 0.d,Sample,20/4/2018 2:58 PM,7572,3.463,0.055,4246,3.429,0.056,15447,3.384,0.059,120198,3.402,0.055,44160,3.400,0.055,22608,3.436,0.055,2255,3.374,0.060,528,3.340,0.063
,,126_SPL_S091_Bodmer 1,126_SPL_S091_Bodmer 1.d,Sample,20/4/2018 3:08 PM,6740,3.463,0.055,3587,3.437,0.056,19537,3.384,0.059,145412,3.402,0.055,44918,3.400,0.055,19424,3.436,0.057,2704,3.374,0.058,609,3.340,0.069
,,127_SPL_S092_VM842809,127_SPL_S092_VM842809.d,Sample,20/4/2018 3:18 PM,5909,3.463,0.055,4258,3.429,0.057,17023,3.384,0.060,141965,3.402,0.055,37382,3.400,0.056,25589,3.436,0.056,2943,3.374,0.058,681,3.340,0.042
,,128_SPL_S093_Senn 0,128_SPL_S093_Senn 0.d,Sample,20/4/2018 3:29 PM,16880,3.463,0.055,6223,3.429,0.057,18991,3.384,0.060,155313,3.402,0.055,42656,3.400,0.056,28901,3.428,0.056,3441,3.374,0.053,636,3.340,0.058
,,129_SPL_S094_Senn 1,129_SPL_S094_Senn 1.d,Sample,20/4/2018 3:39 PM,14465,3.463,0.055,5946,3.429,0.056,20423,3.384,0.061,164030,3.402,0.055,46087,3.400,0.056,27753,3.436,0.056,3350,3.374,0.058,665,3.340,0.064
,,130_SPL_S095_LZ125634,130_SPL_S095_LZ125634.d,Sample,20/4/2018 3:55 PM,5165,3.471,0.052,3243,3.445,0.055,31232,3.393,0.058,190033,3.410,0.055,41760,3.416,0.056,21845,3.444,0.056,4584,3.382,0.055,1649,3.356,0.058
,,131_SPL_S096_Candrian 0,131_SPL_S096_Candrian 0.d,Sample,20/4/2018 4:05 PM,6631,3.463,0.055,5688,3.429,0.056,29427,3.376,0.060,259334,3.394,0.056,42821,3.400,0.056,27629,3.428,0.056,5468,3.366,0.057,1321,3.340,0.141
,,132_BQC_PQC14,132_BQC_PQC14.d,BQC,20/4/2018 4:15 PM,6508,3.463,0.054,5123,3.429,0.056,18810,3.384,0.059,149953,3.402,0.055,41368,3.400,0.056,23210,3.436,0.056,3251,3.374,0.058,787,3.340,0.044
,,133_TQC_TQC08,133_TQC_TQC08.d,TQC,20/4/2018 4:25 PM,6650,3.463,0.056,5291,3.429,0.056,20354,3.384,0.060,168196,3.402,0.055,49866,3.400,0.056,25833,3.436,0.056,3973,3.374,0.058,1041,3.348,0.060
,,134_SPL_S097_Baer 0,134_SPL_S097_Baer 0.d,Sample,20/4/2018 4:36 PM,5376,3.463,0.055,3770,3.437,0.056,16596,3.384,0.060,139693,3.402,0.055,46013,3.408,0.056,19403,3.436,0.055,3012,3.374,0.055,824,3.348,0.054
,,135_SPL_S098_Baer 1,135_SPL_S098_Baer 1.d,Sample,20/4/2018 4:46 PM,3945,3.463,0.056,3032,3.429,0.058,15831,3.384,0.060,130859,3.402,0.055,43222,3.400,0.055,17694,3.436,0.056,2464,3.374,0.060,564,3.340,0.111
!,!,136_SPL_S099_VM838952,136_SPL_S099_VM838952.d,Sample,20/4/2018 4:56 PM,4824,3.463,0.054,3950,3.437,0.057,15249,3.384,0.060,142346,3.402,0.055,43818,3.400,0.056,20561,3.436,0.056,3219,3.374,0.057,1120,3.340,0.063
,,137_SPL_S100_Simon 0,137_SPL_S100_Simon 0.d,Sample,20/4/2018 5:06 PM,9989,3.463,0.056,7705,3.429,0.056,24653,3.384,0.061,220522,3.402,0.055,43887,3.400,0.056,30910,3.436,0.056,4362,3.374,0.057,1128,3.340,0.060
,,138_SPL_S101_Simon 1,138_SPL_S101_Simon 1.d,Sample,20/4/2018 5:17 PM,8263,3.463,0.055,7770,3.429,0.055,23047,3.384,0.061,221248,3.402,0.055,39743,3.400,0.056,28302,3.436,0.056,4934,3.374,0.058,1099,3.348,0.061
,,139_SPL_S102_VM832651,139_SPL_S102_VM832651.d,Sample,20/4/2018 5:27 PM,7108,3.463,0.055,3697,3.429,0.056,9330,3.384,0.060,67986,3.402,0.055,41265,3.400,0.056,17670,3.436,0.056,1358,3.366,0.053,465,3.331,0.072
,,140_SPL_S103_Carrera 0,140_SPL_S103_Carrera 0.d,Sample,20/4/2018 5:37 PM,5075,3.463,0.054,3102,3.429,0.056,12865,3.384,0.059,118557,3.402,0.055,45825,3.400,0.056,19674,3.436,0.056,2288,3.374,0.058,472,3.340,0.108
,,141_SPL_S104_Piccaluga 0,141_SPL_S104_Piccaluga 0.d,Sample,20/4/2018 5:47 PM,8635,3.463,0.055,4589,3.429,0.057,19518,3.384,0.059,169805,3.402,0.055,43670,3.400,0.055,24601,3.436,0.056,3278,3.374,0.054,586,3.340,0.060
,,142_BQC_PQC15,142_BQC_PQC15.d,BQC,20/4/2018 5:58 PM,7041,3.463,0.054,4807,3.429,0.057,19498,3.384,0.060,155102,3.402,0.055,42492,3.400,0.056,24466,3.436,0.056,3359,3.374,0.059,726,3.348,0.055
!,!,143_SPL_S105_Piccaluga 1,143_SPL_S105_Piccaluga 1.d,Sample,20/4/2018 6:08 PM,6828,3.463,0.057,3874,3.429,0.057,8859,3.384,0.059,99927,3.402,0.055,42546,3.400,0.055,27051,3.436,0.056,1614,3.374,0.056,215,3.348,0.149
,,144_SPL_S106_LZ125005,144_SPL_S106_LZ125005.d,Sample,20/4/2018 6:18 PM,5733,3.463,0.054,6006,3.429,0.056,12615,3.384,0.061,104043,3.402,0.055,39210,3.400,0.056,18691,3.428,0.056,2648,3.374,0.058,770,3.340,0.061
,,145_SPL_S107_Hügli 0,145_SPL_S107_Hügli 0.d,Sample,20/4/2018 6:29 PM,6520,3.463,0.055,4929,3.429,0.056,19824,3.384,0.060,167261,3.402,0.055,41551,3.400,0.056,23815,3.436,0.056,3901,3.374,0.059,763,3.348,0.057
!,!,146_SPL_S108_Gutbrod 0,146_SPL_S108_Gutbrod 0.d,Sample,20/4/2018 6:39 PM,4083,3.463,0.055,4045,3.429,0.057,21510,3.384,0.061,184549,3.402,0.055,45303,3.400,0.056,19944,3.428,0.056,3547,3.374,0.058,935,3.340,0.062
,,147_SPL_S109_Hunziker 0,147_SPL_S109_Hunziker 0.d,Sample,20/4/2018 6:49 PM,16795,3.463,0.055,8908,3.429,0.056,17632,3.384,0.062,156344,3.402,0.055,40294,3.400,0.056,26347,3.428,0.055,4263,3.374,0.057,718,3.340,0.108
,,148_BQC_PQC16,148_BQC_PQC16.d,BQC,20/4/2018 6:59 PM,6218,3.463,0.054,5055,3.429,0.057,18901,3.384,0.059,146989,3.402,0.055,42249,3.400,0.056,21968,3.436,0.055,3302,3.374,0.057,807,3.348,0.039
,,149_BQC_PQC17,149_BQC_PQC17.d,BQC,20/4/2018 7:10 PM,6517,3.463,0.055,4572,3.437,0.057,18308,3.384,0.059,154805,3.402,0.055,39819,3.400,0.056,23003,3.436,0.056,3456,3.374,0.057,1185,3.340,0.059
,,150_TQC_TQC09,150_TQC_TQC09.d,TQC,20/4/2018 7:20 PM,7058,3.463,0.058,5621,3.429,0.056,19009,3.384,0.060,167925,3.402,0.055,48985,3.400,0.056,27235,3.436,0.056,3645,3.374,0.057,1018,3.340,0.051
!,!,151_TQC_TQC10,151_TQC_TQC10.d,TQC,20/4/2018 7:30 PM,7538,3.463,0.056,5093,3.437,0.057,19876,3.384,0.060,163554,3.402,0.056,46831,3.400,0.056,26632,3.436,0.056,3416,3.374,0.057,1063,3.340,0.051
,,152_LTR_LTR02,152_LTR_LTR02.d,LTR,20/4/2018 7:40 PM,13290,3.463,0.056,2914,3.429,0.056,10953,3.384,0.059,99127,3.402,0.055,60477,3.400,0.056,30539,3.436,0.056,2062,3.374,0.060,112,3.331,0.057
!,!,153_NIST_NIST02,153_NIST_NIST02.d,NIST,20/4/2018 7:51 PM,10792,3.463,0.055,2373,3.437,0.057,12246,3.384,0.058,77236,3.402,0.055,45847,3.400,0.056,23823,3.436,0.056,1584,3.374,0.060,253,3.340,0.044
!,!,154_EBLK_Extracted Blank+ISTD02,154_EBLK_Extracted Blank+ISTD02.d,BlankExIS,20/4/2018 8:01 PM,26,3.496,0.083,42,3.454,0.057,185,3.277,0.072,22,3.485,0.034,50356,3.400,0.055,,,,3,3.341,0.013,10,3.356,0.066
,,155_EQC_TQC_B prerun01,155_EQC_TQC_B prerun01.d,Sample,20/4/2018 8:11 PM,8788,3.463,0.055,4603,3.437,0.056,11683,3.384,0.060,88776,3.402,0.055,46301,3.400,0.056,16344,3.436,0.056,2802,3.357,0.067,694,3.348,0.064
,,156_EQC_TQC_B prerun02,156_EQC_TQC_B prerun02.d,Sample,20/4/2018 8:21 PM,8709,3.463,0.054,4445,3.429,0.057,11959,3.384,0.060,85308,3.402,0.055,45324,3.400,0.056,16562,3.428,0.056,3243,3.357,0.065,566,3.340,0.048
,,157_EQC_TQC_B prerun03,157_EQC_TQC_B prerun03.d,Sample,20/4/2018 8:32 PM,8653,3.463,0.055,4774,3.429,0.057,11908,3.384,0.061,85931,3.402,0.056,45904,3.400,0.056,16387,3.436,0.056,2987,3.357,0.066,596,3.340,0.068
,,158_EQC_TQC_B prerun04,158_EQC_TQC_B prerun04.d,Sample,20/4/2018 8:42 PM,8863,3.463,0.055,5022,3.429,0.057,12185,3.384,0.060,86885,3.402,0.055,45607,3.400,0.056,15766,3.436,0.056,2979,3.357,0.067,574,3.340,0.116
!,!,159_EQC_TQC_B prerun05,159_EQC_TQC_B prerun05.d,Sample,20/4/2018 8:52 PM,8911,3.463,0.055,4517,3.429,0.056,11772,3.384,0.060,90565,3.402,0.055,46289,3.400,0.055,17206,3.428,0.056,3049,3.357,0.068,615,3.340,0.069
,,160_LTR_LTR03,160_LTR_LTR03.d,LTR,20/4/2018 9:02 PM,12692,3.463,0.055,2805,3.429,0.057,11619,3.384,0.058,99550,3.402,0.055,64713,3.400,0.055,35296,3.428,0.056,1921,3.374,0.059,204,3.348,0.057
!,!,161_NIST_NIST03,161_NIST_NIST03.d,NIST,20/4/2018 9:13 PM,9919,3.463,0.055,2331,3.429,0.056,12164,3.384,0.058,74229,3.402,0.056,47625,3.400,0.056,22428,3.436,0.056,1804,3.374,0.058,155,3.348,0.073
,,162_TQC_TQC_B 01,162_TQC_TQC_B 01.d,TQC,20/4/2018 9:23 PM,8181,3.463,0.055,4586,3.429,0.056,11542,3.384,0.060,81692,3.402,0.056,43450,3.400,0.056,16030,3.436,0.056,3049,3.357,0.067,473,3.340,0.116
,,163_TQC_TQC_B 02,163_TQC_TQC_B 02.d,TQC,20/4/2018 9:33 PM,8189,3.463,0.055,4265,3.429,0.056,11113,3.384,0.061,81095,3.402,0.056,42490,3.400,0.056,15665,3.436,0.056,3000,3.357,0.066,560,3.331,0.060
,,164_BQC_PQC_B 01,164_BQC_PQC_B 01.d,BQC,20/4/2018 9:43 PM,8111,3.463,0.055,4542,3.429,0.057,11667,3.384,0.059,87421,3.402,0.056,47589,3.400,0.056,17369,3.436,0.056,3017,3.357,0.067,475,3.340,0.116
,,165_BQC_PQC_B 02,165_BQC_PQC_B 02.d,BQC,20/4/2018 9:54 PM,7851,3.463,0.055,4786,3.429,0.057,11083,3.384,0.061,87215,3.402,0.056,46963,3.400,0.055,16385,3.436,0.056,2786,3.357,0.067,550,3.340,0.071
!,!,166_SPL_S110_4816,166_SPL_S110_4816.d,Sample,20/4/2018 10:04 PM,3475,3.463,0.055,1909,3.437,0.057,4534,3.384,0.062,46652,3.402,0.055,42261,3.400,0.056,14105,3.436,0.056,821,3.366,0.052,267,3.348,0.107
!,!,167_SPL_S111_4824,167_SPL_S111_4824.d,Sample,20/4/2018 10:14 PM,3410,3.463,0.055,1867,3.429,0.059,4956,3.384,0.061,43885,3.402,0.055,46194,3.400,0.055,12800,3.428,0.056,747,3.366,0.061,86,3.340,0.108
!,!,168_SPL_S112_5077,168_SPL_S112_5077.d,Sample,20/4/2018 10:24 PM,3013,3.463,0.056,1998,3.429,0.057,3814,3.384,0.061,34138,3.402,0.055,44786,3.400,0.056,10768,3.436,0.057,732,3.374,0.065,131,3.331,0.061
,,169_SPL_S113_5088,169_SPL_S113_5088.d,Sample,20/4/2018 10:35 PM,3859,3.463,0.055,2504,3.429,0.057,6561,3.384,0.062,55746,3.402,0.055,44007,3.400,0.056,18014,3.436,0.057,1209,3.366,0.062,32,3.240,0.045
,,170_SPL_S114_6663,170_SPL_S114_6663.d,Sample,20/4/2018 10:45 PM,8540,3.463,0.055,4752,3.429,0.057,12604,3.384,0.060,95066,3.402,0.055,46833,3.400,0.056,16879,3.436,0.056,3034,3.366,0.066,702,3.340,0.087
,,171_SPL_S115_6667,171_SPL_S115_6667.d,Sample,20/4/2018 10:55 PM,4417,3.463,0.055,2226,3.437,0.058,5313,3.384,0.063,50028,3.402,0.056,41581,3.400,0.056,20053,3.436,0.056,1129,3.374,0.063,180,3.340,0.108
!,!,172_BQC_PQC_B 03,172_BQC_PQC_B 03.d,BQC,20/4/2018 11:05 PM,4652,3.463,0.055,3143,3.429,0.058,4081,3.384,0.063,38567,3.402,0.056,47253,3.400,0.056,13396,3.436,0.056,878,3.366,0.062,,,
,,173_SPL_S116_6694,173_SPL_S116_6694.d,Sample,20/4/2018 11:16 PM,4079,3.463,0.055,2185,3.429,0.056,4368,3.384,0.061,38914,3.402,0.056,46844,3.400,0.055,16734,3.436,0.056,630,3.366,0.055,260,3.331,0.124
!,!,174_SPL_S117_6695,174_SPL_S117_6695.d,Sample,20/4/2018 11:26 PM,3334,3.463,0.055,2773,3.429,0.057,5349,3.384,0.061,57046,3.402,0.056,44228,3.400,0.055,15026,3.436,0.056,1130,3.366,0.058,233,3.348,0.124
!,!,175_SPL_S118_6734,175_SPL_S118_6734.d,Sample,20/4/2018 11:36 PM,2505,3.463,0.056,2490,3.429,0.057,4135,3.384,0.064,39157,3.402,0.056,41037,3.400,0.055,15849,3.436,0.056,793,3.374,0.061,36,3.240,0.055
,,176_SPL_S119_6738,176_SPL_S119_6738.d,Sample,20/4/2018 11:46 PM,4272,3.463,0.055,2440,3.429,0.056,4821,3.384,0.062,48850,3.402,0.056,43267,3.400,0.056,20061,3.436,0.056,960,3.366,0.059,231,3.340,0.115
,,177_SPL_S120_F1,177_SPL_S120_F1.d,Sample,20/4/2018 11:57 PM,13405,3.463,0.055,6863,3.429,0.056,20236,3.384,0.058,139267,3.402,0.055,43132,3.400,0.056,21456,3.436,0.056,3802,3.366,0.059,994,3.348,0.056
!,!,178_SPL_S121_G3,178_SPL_S121_G3.d,Sample,21/4/2018 12:07 AM,12200,3.463,0.055,7428,3.429,0.056,24670,3.384,0.058,157403,3.402,0.055,47168,3.400,0.055,18881,3.436,0.056,5159,3.357,0.063,864,3.340,0.053
,,179_BQC_PQC_B 04,179_BQC_PQC_B 04.d,BQC,21/4/2018 12:17 AM,8591,3.463,0.055,4497,3.429,0.057,12190,3.384,0.060,88646,3.402,0.055,45521,3.400,0.056,15096,3.436,0.057,3103,3.357,0.065,446,3.340,0.141
,,180_TQC_TQC_B 03,180_TQC_TQC_B 03.d,TQC,21/4/2018 12:28 AM,9023,3.463,0.055,4519,3.429,0.056,12009,3.384,0.059,84441,3.402,0.056,44266,3.400,0.056,15831,3.436,0.056,2854,3.357,0.065,604,3.340,0.124
,,181_SPL_S122_G4,181_SPL_S122_G4.d,Sample,21/4/2018 12:38 AM,7277,3.463,0.056,4973,3.429,0.057,17426,3.376,0.059,115451,3.402,0.055,42786,3.400,0.056,13562,3.436,0.056,3875,3.357,0.065,690,3.340,0.058
,,182_SPL_S123_G6,182_SPL_S123_G6.d,Sample,21/4/2018 12:48 AM,12049,3.463,0.054,6092,3.429,0.056,30895,3.376,0.058,179652,3.402,0.055,42380,3.400,0.056,19168,3.436,0.056,5828,3.366,0.064,1559,3.340,0.059
,,183_SPL_S124_H2,183_SPL_S124_H2.d,Sample,21/4/2018 12:58 AM,18840,3.463,0.055,9582,3.429,0.056,29974,3.384,0.059,179756,3.402,0.055,46035,3.400,0.055,19504,3.436,0.056,5283,3.366,0.063,1626,3.348,0.056
,,184_SPL_S125_H3,184_SPL_S125_H3.d,Sample,21/4/2018 1:09 AM,15865,3.463,0.055,7271,3.429,0.057,21860,3.384,0.059,137503,3.402,0.055,43222,3.400,0.056,20112,3.436,0.056,5520,3.357,0.064,1222,3.340,0.071
,,185_SPL_S126_I1,185_SPL_S126_I1.d,Sample,21/4/2018 1:19 AM,12463,3.463,0.055,6068,3.437,0.056,14366,3.384,0.059,98947,3.402,0.055,44564,3.400,0.055,13853,3.436,0.056,4128,3.357,0.053,777,3.340,0.056
,,186_SPL_S127_I2,186_SPL_S127_I2.d,Sample,21/4/2018 1:29 AM,17875,3.463,0.055,8999,3.429,0.057,24966,3.384,0.060,158499,3.402,0.055,42395,3.400,0.056,20459,3.436,0.056,4945,3.366,0.066,1848,3.340,0.065
,,187_BQC_PQC_B 05,187_BQC_PQC_B 05.d,BQC,21/4/2018 1:39 AM,15829,3.463,0.055,8052,3.429,0.056,16574,3.384,0.060,125842,3.402,0.055,43438,3.400,0.056,16722,3.428,0.056,4317,3.357,0.066,919,3.340,0.059
!,!,188_SPL_S128_I3,188_SPL_S128_I3.d,Sample,21/4/2018 1:50 AM,12178,3.463,0.055,6155,3.429,0.056,16882,3.384,0.059,116692,3.402,0.055,45713,3.400,0.055,15287,3.436,0.057,3621,3.357,0.066,641,3.348,0.046
,,189_SPL_S129_I4,189_SPL_S129_I4.d,Sample,21/4/2018 2:00 AM,8261,3.463,0.055,4618,3.429,0.056,11025,3.384,0.061,91052,3.402,0.055,46634,3.400,0.055,16247,3.436,0.057,2817,3.357,0.059,523,3.340,0.060
,,190_SPL_S130_Jaggy JCR4,190_SPL_S130_Jaggy JCR4.d,Sample,21/4/2018 2:10 AM,8621,3.463,0.055,4490,3.429,0.056,10550,3.384,0.061,81607,3.402,0.056,42553,3.400,0.056,10491,3.436,0.056,5156,3.349,0.065,455,3.340,0.124
!,!,191_SPL_S131_KCY1,191_SPL_S131_KCY1.d,Sample,21/4/2018 2:20 AM,10968,3.463,0.055,5433,3.429,0.057,7134,3.384,0.063,68366,3.402,0.056,39945,3.400,0.056,13228,3.436,0.056,5455,3.349,0.062,274,3.340,0.108
,,192_SPL_S132_Kassandra,192_SPL_S132_Kassandra.d,Sample,21/4/2018 2:31 AM,6483,3.463,0.055,3009,3.429,0.057,5879,3.384,0.061,50947,3.402,0.056,40860,3.400,0.055,7870,3.428,0.055,3381,3.349,0.065,261,3.340,0.108
,,193_SPL_S133_Murphy,193_SPL_S133_Murphy.d,Sample,21/4/2018 2:41 AM,13300,3.463,0.055,7317,3.429,0.056,12605,3.384,0.060,101406,3.402,0.055,40098,3.400,0.056,14280,3.436,0.056,4575,3.357,0.064,592,3.340,0.133
,,194_BQC_PQC_B 06,194_BQC_PQC_B 06.d,BQC,21/4/2018 2:51 AM,7784,3.463,0.055,4209,3.429,0.057,11255,3.384,0.060,80699,3.402,0.055,45475,3.400,0.055,14556,3.436,0.056,2952,3.357,0.065,647,3.348,0.072
!,!,195_BQC_PQC_B 07,195_BQC_PQC_B 07.d,BQC,21/4/2018 3:01 AM,8188,3.463,0.055,4523,3.429,0.056,11297,3.376,0.059,79940,3.402,0.056,44685,3.400,0.056,14504,3.428,0.056,2691,3.357,0.067,579,3.340,0.020
,,196_TQC_TQC_B 04,196_TQC_TQC_B 04.d,TQC,21/4/2018 3:12 AM,8248,3.463,0.055,4573,3.429,0.057,11774,3.384,0.060,83630,3.402,0.055,48120,3.400,0.056,15307,3.436,0.056,2888,3.357,0.065,538,3.340,0.069
,,197_TQC_TQC_B 05,197_TQC_TQC_B 05.d,TQC,21/4/2018 3:22 AM,8506,3.463,0.055,4380,3.429,0.057,12014,3.384,0.060,86917,3.402,0.055,46139,3.400,0.056,16219,3.436,0.056,2719,3.357,0.064,525,3.340,0.069
,,198_LTR_LTR04,198_LTR_LTR04.d,LTR,21/4/2018 3:32 AM,13960,3.469,0.052,3165,3.429,0.056,11623,3.384,0.057,94764,3.402,0.055,61047,3.400,0.055,33920,3.436,0.056,1877,3.374,0.053,184,3.340,0.068
